act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten,name_who_ordered
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 110",48.523978,32.233442,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 110",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 112",48.523972,32.232934,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 112",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 118/57",48.524006,32.23178,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 118/57",unknown
"№ 3697
 від 04.05.18","м. Кропивницький вул. Яновського, 60 (на території Кіровоградської міської станції юних техніків)",48.495128,32.249176,Управління освіти Міської ради,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Яновського, 60",Управління освіти Міської ради
"№ 3698
 від 04.05.18","м. Кропивницький вул. Преображенська, 101 (на території ДНЗ № 37 «Ластівка»)",48.498782,32.286696899999995,Управління освіти Міської ради,верба плакуча,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Преображенська, 101",Управління освіти Міської ради
"№ 3699
 від 04.05.18","м. Кропивницький вул. Бєляєва, 29, корп. 2 (під’їзд № 5)",48.5040835,32.2273976,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Бєляєва, 29, корп. 2",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3670
 від 04.05.18","м. Кропивницький вул. Волкова, 28, корп. 4 (між під. № 4 та № 5)",48.49836079999999,32.2254717,КП «ЖЕО № 3» Міської ради міста Кропивницького,абрикос,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Волкова, 28, корп. 4",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3670
 від 04.05.18","м. Кропивницький вул. Волкова, 28, корп. 4 (між під. № 4 та № 5)",48.4983711,32.2254115,КП «ЖЕО № 3» Міської ради міста Кропивницького,груша,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Волкова, 28, корп. 4",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3701
 від 04.05.18","м. Кропивницький пров. Миргородський, 23 (навпроти під. № 1)",48.501665,32.250040000000006,КП «ЖЕО № 3» Міської ради міста Кропивницького,верба плакуча,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький пров. Миргородський, 23",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3702
 від 04.05.18","м. Кропивницький вул. Академіка Тамма, 5",48.499175,32.2368396,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Академіка Тамма, 5",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3702
 від 04.05.18","м. Кропивницький вул. Академіка Тамма, 5",48.49923,32.236818199999995,КП «ЖЕО № 3» Міської ради міста Кропивницького,береза,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Академіка Тамма, 5",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3703
 від 04.05.18","м. Кропивницький вул. Генерала Родимцева, 85 (біля дитячого майданчика)",48.4972761,32.300314,ОСББ «Горизонт-85»,тополя,3,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Генерала Родимцева, 85",ОСББ «Горизонт-85»
№ 3704 від 04.05.18,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",48.4984814,32.233290000000004,ПП «Сервіс Кіровоград»,акація,22,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",ПП «Сервіс Кіровоград»
№ 3704 від 04.05.18,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",48.49844470000001,32.233622,ПП «Сервіс Кіровоград»,берест,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",ПП «Сервіс Кіровоград»
№ 3704 від 04.05.18,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",48.498453600000005,32.233982,ПП «Сервіс Кіровоград»,берест,3,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",ПП «Сервіс Кіровоград»
№ 3704 від 04.05.18,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",48.4984283,32.23386,ПП «Сервіс Кіровоград»,клен,3,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",ПП «Сервіс Кіровоград»
№ 3705 від 04.05.18,"м. Кропивницький вул. Січових стрільців, 1-а",48.49601,32.287929999999996,гр. Коваленко Е.А.,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Січових стрільців, 1-а",гр. Коваленко Е.А.
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529214399999994,32.24545,ГУ ЖКГ МР МК,тополя,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж річки Інгул,ГУ ЖКГ МР МК
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.5292229,32.245463199999996,ГУ ЖКГ МР МК,тополя,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж річки Інгул,ГУ ЖКГ МР МК
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529211600000004,32.2454868,ГУ ЖКГ МР МК,клен,2,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж річки Інгул,ГУ ЖКГ МР МК
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.5292772,32.2454948,ГУ ЖКГ МР МК,клен,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж річки Інгул,ГУ ЖКГ МР МК
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.5292711,32.2454642,ГУ ЖКГ МР МК,клен,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж річки Інгул,ГУ ЖКГ МР МК
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529264500000004,32.245467,ГУ ЖКГ МР МК,клен,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж річки Інгул,ГУ ЖКГ МР МК
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.5292629,32.245438199999995,ГУ ЖКГ МР МК,клен,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж річки Інгул,ГУ ЖКГ МР МК
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.5292975,32.245497,ГУ ЖКГ МР МК,берест,2,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж річки Інгул,ГУ ЖКГ МР МК
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.5292824,32.2454157,ГУ ЖКГ МР МК,берест,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж річки Інгул,ГУ ЖКГ МР МК
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.5292265,32.2454303,ГУ ЖКГ МР МК,берест,2,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж річки Інгул,ГУ ЖКГ МР МК
"№ 3707
 від 11.05.18","м. Кропивницький вул. Комарова, 3 (збоку під. № 1)",48.503898,32.24597,ОЖБК,клен,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Комарова, 3",ОЖБК
"№ 3707
 від 11.05.18","м. Кропивницький вул. Комарова, 3 (збоку під. № 1)",48.503898,32.24597,ОЖБК,акація,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Комарова, 3",ОЖБК
"№ 3708
 від 11.05.18","м. Кропивницький вул. Лінія, 6, 30 (ЗОШ № 22)",48.4721664,32.2814139,Управління освіти,черешня,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Лінія, 6, 30",Управління освіти
"№ 3709
 від 11.05.18","м. Кропивницький вул. Євгена Тельнова, 8, корп. 2 (навпроти під'їзду № 4 та № 2)",48.502663399999996,32.2299662,КП «ЖЕО № 3» Міської ради міста Кропивницького,черешня,2,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Євгена Тельнова, 8, корп. 2",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3710
 від 11.05.18","м. Кропивницький вул. Преображенська, уздовж дороги, біля будинку № 58",48.5024802,32.27539960000001,гр. Краснюк А.С.,тополя,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Преображенська, уздовж дороги, біля будинку № 58",гр. Краснюк А.С.
"№ 3710
 від 11.05.18","м. Кропивницький вул. Преображенська, уздовж дороги, біля будинку № 58",48.502412400000004,32.27539960000001,гр. Краснюк А.С.,акація,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Преображенська, уздовж дороги, біля будинку № 58",гр. Краснюк А.С.
"№ 3711
 від 11.05.18","м. Кропивницький вул. Арсенія Тарковського, 68",48.505717499999996,32.2680328,КП «Благоустрій» МРМК»,акація,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Арсенія Тарковського, 68",КП «Благоустрій» МРМК»
"№ 3712
 від 11.05.18","м. Кропивницький вул. Шевченка, 21/27 (уздовж дороги по
 вул. Шевченка)",48.510976,32.270990999999995,КП «Благоустрій» МРМК»,каштан,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Шевченка, 21/27",unknown
"№ 3712
 від 11.05.18","м. Кропивницький вул. Арсенія Тарковського, 17 (уздовж дороги)",48.513470899999994,32.275521600000005,КП «Благоустрій» МРМК»,акація,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Арсенія Тарковського, 17",КП «Благоустрій» МРМК»
"№ 3713
 від 11.05.18","м. Кропивницький вул. Михайлівська, 54 (уздовж дороги)",48.506931,32.271375,КП «Благоустрій» МРМК»,тополя,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Михайлівська, 54",КП «Благоустрій» МРМК»
"№ 3713
 від 11.05.18","м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)",48.566978000000006,32.243897,КП «Благоустрій» МРМК»,тополя,2,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)",КП «Благоустрій» МРМК»
"№ 3713
 від 11.05.18","м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)",48.566978000000006,32.243897,КП «Благоустрій» МРМК»,тополя,2,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)",КП «Благоустрій» МРМК»
"№ 3713
 від 11.05.18","м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)",48.566978000000006,32.243897,КП «Благоустрій» МРМК»,тополя,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)",КП «Благоустрій» МРМК»
"№ 3714
 від 11.05.18","м. Кропивницький вул. Карабінерна, 30/79",48.507371,32.276317999999996,КП «ЖЕО № 2» Міської ради міста Кропивницького,тополя,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Карабінерна, 30/79",unknown
"№ 3714
 від 11.05.18","м. Кропивницький вул. Пашутінська, 13 (біля будинку)",48.5121261,32.272032,КП «ЖЕО № 2» Міської ради міста Кропивницького,акація,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Пашутінська, 13",КП «ЖЕО № 2» Міської ради міста Кропивницького
"№ 3715
 від 11.05.18","м. Кропивницький просп. Університетський, 11",48.504810299999995,32.2096483,КЗ «Кіровоградський музичний коледж»,береза,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький просп. Університетський, 11",КЗ «Кіровоградський музичний коледж»
"№ 3715
 від 11.05.18","м. Кропивницький просп. Університетський, 11",48.50488970000001,32.2096614,КЗ «Кіровоградський музичний коледж»,горобина,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький просп. Університетський, 11",КЗ «Кіровоградський музичний коледж»
"№ 3716
 від 11.05.18","м. Кропивницький вул. Євгена Маланюка, 4 (на території музичного коледжу)",48.5189,32.278374,КЗ «Кіровоградський музичний коледж»,береза,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Євгена Маланюка, 4",КЗ «Кіровоградський музичний коледж»
"№ 3717
 від 11.05.18","м. Кропивницький вул. Генерала Жадова, 28, корп. 2",48.490570299999995,32.201328499999995,ОСББ «Гарант»,вишня,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Генерала Жадова, 28, корп. 2",ОСББ «Гарант»
"№ 3718
 від 11.05.18","м. Кропивницький вул. Андрія Матвієнака, 21 (уздовж дороги)",48.517286,32.280463,гр. Василевський Є.В.,акація,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Андрія Матвієнака, 21",гр. Василевський Є.В.
"№ 3719
 від 11.05.18","м. Кропивницький вул. Дворцова, 6/7",48.5134889,32.260131699999995,ГУ юстиції у Кіровоградській області,каштан,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Дворцова, 6/7",unknown
"№ 3720
 від 11.05.18","м. Кропивницький вул. Запорозька, 16/2",48.516705,32.298452000000005,гр. Полонська М.Г.,абрикос,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Запорозька, 16/2",гр. Полонська М.Г.
"№ 3720
 від 11.05.18","м. Кропивницький вул. Запорозька, 16/2",48.516705,32.298452000000005,гр. Полонська М.Г.,шовковиця,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Запорозька, 16/2",гр. Полонська М.Г.
"№ 3721
 від 11.05.18","м. Кропивницький вул. Академіка Тамма, 27 (на території ДНЗ № 48 «Журавушка»",48.4983383,32.2336915,МЧС Міської ради,тополя,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, 27",unknown
"№ 3721
 від 11.05.18","м. Кропивницький вул. Академіка Тамма, 27 (на території ДНЗ № 48 «Журавушка»",48.4983383,32.2336915,МЧС Міської ради,тополя,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, 27",unknown
"№ 3721
 від 11.05.18","м. Кропивницький вул. Академіка Тамма, 27 (на території ДНЗ № 48 «Журавушка»",48.4983383,32.2336915,МЧС Міської ради,верба,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, 27",unknown
"№ 3721
 від 11.05.18","м. Кропивницький вул. Академіка Тамма, 27 (на території ДНЗ № 48 «Журавушка»",48.4983383,32.2336915,МЧС Міської ради,береза,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, 27",unknown
"№ 3722
 від 29.05.18","м. Кропивницький вул. Короленка, сквер «Катюша»",48.5353586,32.2713678,ОКВП «Дніпро-Кіровоград»,береза,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Короленка, сквер «Катюша»",ОКВП «Дніпро-Кіровоград»
"№ 3722
 від 29.05.18","м. Кропивницький вул. Короленка, сквер «Катюша»",48.5353963,32.2713716,ОКВП «Дніпро-Кіровоград»,"спірея, кущ",5,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Короленка, сквер «Катюша»",ОКВП «Дніпро-Кіровоград»
"№ 3723
 від 29.05.18","м. Кропивницький вул. Євгена Маланюка, уздовж дороги навпроти магазину «Світ»",48.5193373,32.2803921,КП «Благоустрій» МРМК»,тополя,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Євгена Маланюка, уздовж дороги навпроти магазину «Світ»",КП «Благоустрій» МРМК»
"№ 3723
 від 29.05.18","м. Кропивницький просп. Перемоги, позаду ЗОШ № 20",48.5204,32.251020000000004,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький просп. Перемоги, позаду ЗОШ № 20",КП «Благоустрій» МРМК»
"№ 3724
 від 29.05.18","м. Кропивницький вул. Будівельників, 1-а",48.5615486,32.2417624,КП «Благоустрій» МРМК»,сосна,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Будівельників, 1-а",КП «ЖЕО № 1» Міської ради міста Кропивницького
"№ 3724
 від 29.05.18","м. Кропивницький вул. Будівельників, 1-а",48.5615486,32.2417624,КП «Благоустрій» МРМК»,сосна,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Будівельників, 1-а",КП «Благоустрій» МРМК»
"№ 3725
 від 29.05.18","м. Кропивницький вул. Велика Перспективна, 1 (на території ГУ НП в Кіровоградській області)",48.511581,32.262040899999995,ГУ НП в Кіровоградській області,каштан,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Велика Перспективна, 1",ГУ НП в Кіровоградській області
"№ 3726
 від 31.05.18","м. Кропивницький вул. Автолюбителів, 4, уздовж гаражного кооперативу «Автолюбитель-2» з боку
 вул. Автолюбителів",48.4876397,32.2264258,Гаражний кооператив,тополя,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Автолюбителів, 4, уздовж гаражного кооперативу «Автолюбитель-2» з боку
 вул. Автолюбителів",Гаражний кооператив
"№ 3727
 від 31.05.18","м. Кропивницький вул. Академіка Тамма, 9",48.499378,32.2368188,КП «ЖЕО № 3» Міської ради міста Кропивницького,липа,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, 9",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3727
 від 31.05.18","м. Кропивницький вул. Академіка Тамма, 9",48.499572,32.236857300000004,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, 9",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3727
 від 31.05.18","м. Кропивницький вул. Академіка Тамма, 9",48.499367,32.236877299999996,КП «ЖЕО № 3» Міської ради міста Кропивницького,абрикос,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, 9",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3727
 від 31.05.18","м. Кропивницький вул. Академіка Тамма, 9",48.499515,32.236836100000005,КП «ЖЕО № 3» Міської ради міста Кропивницького,абрикос,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Тамма, 9",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3729
 від 31.05.18","м. Кропивницький вул. Соборна, 22-а",48.5023311,32.2475499,КП «ЖЕО № 3» Міської ради міста Кропивницького,верба плакуча,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Соборна, 22-а",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3730
 від 31.05.18","м. Кропивницький вул. Соборна, 23/34",48.500922499999994,32.2413276,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Соборна, 23/34",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3731
 від 31.05.18","м. Кропивницький вул. Волкова, 14, корп. 2",48.5076588,32.223417100000006,КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Волкова, 14, корп. 2",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3732
 від 31.05.18","м. Кропивницький вул. Євгена Тельнова, 2-в",48.5018138,32.234137,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Євгена Тельнова, 2-в",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3733
 від 31.05.18","м. Кропивницький вул. Академіка Корольова, 3",48.503226,32.235915999999996,ОЖБК,горіх,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Академіка Корольова, 3",ОЖБК
"№ 3734
 від 31.05.18","м. Кропивницький вул. Арсенія Тарковського, 2",48.51636,32.2783326,КП «ЖЕО № 2» Міської ради міста Кропивницького,черешня,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Арсенія Тарковського, 2",КП «ЖЕО № 2» Міської ради міста Кропивницького
"№ 3735
 від 31.05.18","м. Кропивницький вул. Архітектора Паученка, 51/44, уздовж дороги по вул. Архітектора Паученка",48.509305,32.271507,КП «ЖЕО № 2» Міської ради міста Кропивницького,акація,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Архітектора Паученка, 51/44, уздовж дороги по вул. Архітектора Паученка",КП «ЖЕО № 2» Міської ради міста Кропивницького
"№ 3735
 від 31.05.18","м. Кропивницький вул. Велика Перспективна, 25/34, у дворі уздовж паркану",48.5115872,32.268388,КП «ЖЕО № 2» Міської ради міста Кропивницького,тополя,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Велика Перспективна, 25/34, у дворі уздовж паркану",unknown
"№ 3735
 від 31.05.18","м. Кропивницький вул. Архангельська, 65/108, уздовж дороги по вул. Архангельській",48.505046500000006,32.272234000000005,КП «ЖЕО № 2» Міської ради міста Кропивницького,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Архангельська, 65/108, уздовж дороги по вул. Архангельській",КП «ЖЕО № 2» Міської ради міста Кропивницького
"№ 3735
 від 31.05.18","м. Кропивницький вул. Пашутінська, 51-а",48.5083306,32.2683304,КП «ЖЕО № 2» Міської ради міста Кропивницького,каштан,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Пашутінська, 51-а",КП «ЖЕО № 2» Міської ради міста Кропивницького
"№ 3736
 від 31.05.18","м. Кропивницький вул. Гагаріна, 7",48.5138976,32.269310499999996,КП «ЖЕО № 2» Міської ради міста Кропивницького,берест,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Гагаріна, 7",КП «ЖЕО № 2» Міської ради міста Кропивницького
