identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemDiameter,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status
3689-01,3689,2018-04-17,КП «Благоустрій» МРМК»,1050/03-01-06,2018-04-20,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Юрія Олефіренка, 14-а",null,48.5170256,32.2568937,Черешня,null,1,1,0,27,2018,Замовлення виконано підрядником
3749-01,3749,2018-06-25,КП «ЖЕО № 4» Міської ради міста Кропивницького,1767/03-01-06,2018-06-27,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Пацаєва, 6, корп. 3",null,48.49913,32.2159676,Тополя,null,1,1,0,41,2018,Замовлення виконано підрядником
3749-02,3749,2018-06-25,КП «ЖЕО № 4» Міської ради міста Кропивницького,1767/03-01-06,2018-06-27,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Пацаєва, 6, корп. 3",null,48.49913,32.2159676,Тополя,null,1,1,0,41,2018,Замовлення виконано підрядником
3649-01,3649,2018-03-07,КП «ЖЕО № 2» Міської ради міста Кропивницького,818/03-01-06,2018-03-26,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Михайлівська, 36-а",null,48.50939,32.272496,Акація,null,2,2,0,18,2018,Замовлення виконано підрядником
3743-01,3743,2018-06-12,гр. Коваленко Г.О.,1767/03-01-06,2018-06-27,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Карабінерна, 8",null,48.51024959999999,32.2788056,,null,1,1,0,41,2018,Замовлення виконано підрядником
,,,,2297/03-01-06,2018-08-16,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Шевченка, 57/105",null,48.51201229999999,32.2675756,Пеньок,null,1,0,0,,,Надано замовлення підряднику
3664-01,3664,2018-04-11,КП «ЖЕО № 1» Міської ради міста Кропивницького,1017/03-01-06,2018-04-17,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Михайлівська, 9",null,48.512865,32.2778979,Вишня,null,1,1,0,,,Замовлення виконано підрядником
3735-01,3735,2018-05-31,КП «ЖЕО № 2» Міської ради міста Кропивницького,1555/03-01-06,2018-06-12,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Архітектора Паученка, 51/44",null,48.509276,32.271429,Акація,null,1,1,0,37,2018,Замовлення виконано підрядником
3551-01,3551,2017-11-07,гр. Воловоденко С.В.,345-В,2018-01-30,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"пров. Об'їзний, 16",null,48.5232724,32.296297,Тополя,null,1,1,0,7,2018,Замовлення виконано підрядником
3606-01,3606,2017-12-27,КП «Кіровоград-Благоустрій» КМР»,345-В,2018-01-30,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,"вул. Архангельська, 4",null,48.5124576,32.2787759,Акація,null,2,2,0,7,2018,Замовлення виконано підрядником
