act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3689
 від 17.04.18","м. Кропивницький вул. Віктора Чміленка, 71",48.5084563,32.2695942,КП «Благоустрій» МРМК»,липа діам. 20-25 см,2,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018",1,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Віктора Чміленка, 71"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Вокзальна, 28",48.5156196,32.249782399999994,КП «Благоустрій» МРМК»,"тополя діам. 30-,5 см",1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018",1,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Вокзальна, 28"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Преображенська, 8",48.50709459999999,32.264205,КП «Благоустрій» МРМК»,ялина діам. 15-20 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018",1,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Преображенська, 8"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Тараса Карпи, між № 60 та 62",48.507276700000006,32.2700033,КП «Благоустрій» МРМК»,клен діам. 40-45 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018",1,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Тараса Карпи, між № 60 та 62"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Юрія Олефіренка, 14-а",48.5170099,32.2568124,КП «Благоустрій» МРМК»,черешня діам. 35-40 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018",1,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Юрія Олефіренка, 14-а"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Короленка, 40",48.53721119999999,32.2681574,КП «Благоустрій» МРМК»,акація діам. 45-50 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018",1,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Короленка, 40"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Гоголя, 85",48.50886999999999,32.26361,КП «Благоустрій» МРМК»,бузок (кущ),1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018",1,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Гоголя, 85"
"№ 3690
 від 25.04.18","м. Кропивницький вул. Миру, 17-а",48.525506799999995,32.274931699999996,КП «ЖЕО № 1» Міської ради міста Кропивницького,верба плакуча діам. 60-65 см,1,№ 1357/03-01-06 від 22.05.18,"№ 34, 2018",1,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Миру, 17-а"
"№ 3690
 від 25.04.18","м. Кропивницький вул. Миру, 17-а",48.525506799999995,32.274931699999996,КП «ЖЕО № 1» Міської ради міста Кропивницького,берест діам. 20-25 см,1,№ 1357/03-01-06 від 22.05.18,"№ 34, 2018",1,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Миру, 17-а"
"№ 3691
 від 25.04.18","м. Кропивницький вул. Гоголя, 122-а (у дворі)",48.504129,32.2742342,КП «ЖЕО № 3» Міської ради міста Кропивницького,шовковиця діам. 50-55 см,1,№ 1357/03-01-06 від 22.05.18,"№ 32, 2018",1,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Гоголя, 122-а"
"№ 3692
 від 25.04.18","м. Кропивницький вул. Островського, 2, корп. 2 (з боку
 вул. Островського)",48.50826319999999,32.2599978,ПП Шмідт В.В.,тополя діам. 30-45 см,3,,,0,,,"м. Кропивницький вул. Островського, 2, корп. 2"
"№ 3693
 від 25.04.18","м. Кропивницький вул. Лінія, 10, буд. 56",48.50793300000001,32.262316999999996,КП «ЖЕК № 9» Міської ради міста Кропивницького,черешня 2 діам. 30-35 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Лінія, 10, буд. 56"
"№ 3693
 від 25.04.18","м. Кропивницький вул. Лінія, 1, буд. 3",48.50793300000001,32.262316999999996,КП «ЖЕК № 9» Міської ради міста Кропивницького,горіх діам. 35-40 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Лінія, 1, буд. 3"
"№ 3693
 від 25.04.18","м. Кропивницький вул. Лінія, 9, буд. 41",48.50793300000001,32.262316999999996,КП «ЖЕК № 9» Міської ради міста Кропивницького,горіх діам. 30-35 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Лінія, 9, буд. 41"
"№ 3694
 від 25.04.18","м. Кропивницький вул. Вокзальна, 4 (уздовж дороги)",48.5228307,32.2583848,КП «Благоустрій» МРМК»,акація діам. 80-85 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Вокзальна, 4"
"№ 3695
 від 25.04.18","м. Кропивницький вул. Віктора Чміленка, 94 (уздовж дороги)",48.508371399999994,32.2690317,КП «Благоустрій» МРМК»,клен діам. 60-65 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Віктора Чміленка, 94"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 5",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,тополя діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 5"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 7",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,тополя діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 7"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 10",50.4501,30.5234,КП «Благоустрій» МРМК»,клен діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 10"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 10",50.4501,30.5234,КП «Благоустрій» МРМК»,акація діам. 50-55 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 10"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 11/3",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,тополя діам. 30-35 см,2,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 11/3"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 12",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,липа діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 12"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, навпроти входу до коледжу",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,акація діам. 55-60 см,1,,,0,,,"м. Кропивницький вул. Київська, навпроти входу до коледжу"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 18",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 45-50 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 18"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 28",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,акація діам. 50-55 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 28"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 32",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,акація діам. 55-60 см,2,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 32"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 34",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,акація діам. 60-65 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 34"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 36",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 20-25 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 36"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 42",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,"акація, діам. 30-35 см",2,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 42"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 47",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 35-40 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 47"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 49",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 35-40 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 49"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 51",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 55-60 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 51"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 53",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 50-55 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 53"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 55",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 30-35 см,2,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 55"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 55",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 55-60 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 55"
"№ 3696
 від 04.05.18",м. Кропивницький уздовж дороги на розі з вул. Олени Бур'янової,48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,акація діам. 35-40 см,2,,,0,,,м. Кропивницький уздовж дороги на розі з вул. Олени Бур'янової
"№ 3696
 від 04.05.18",м. Кропивницький уздовж дороги від мосту до вул. Кременчуцька (права сторона),48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 25-35 см,7,,,0,,,м. Кропивницький уздовж дороги від мосту до вул. Кременчуцька
"№ 3696
 від 04.05.18",м. Кропивницький уздовж дороги від мосту до вул. Кременчуцька (ліва сторона),48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 30-40 см,7,,,0,,,м. Кропивницький уздовж дороги від мосту до вул. Кременчуцька
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 61/64",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 45-50 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 61/64"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 62",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 62"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 35-40 см,2,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65/31",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 70-75 см,3,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65/31"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65/31",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 35-40 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65/31"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 69",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 69"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 70",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 30-35 см,2,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 70"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 71",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 25-35 см,5,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 71"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 74/59",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 60-65 см,2,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 74/59"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 76",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 55-60 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 76"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 78",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 20-25 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 78"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 80",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 40-45 см,2,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 80"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 82",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 55-65 см,3,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 82"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 83",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 50-55 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 83"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 84",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 35-45 см,4,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 84"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 85",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 60-65 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 85"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 85-а",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 60-65 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 85-а"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 89/43",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,акація діам. 80-85 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 89/43"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 92 та № 94",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 35-45 см,3,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 92 та № 94"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 96",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 25-30 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 96"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 100",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 30-40 см,2,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 100"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 102/48",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 50-55 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 102/48"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 108",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 20-30 см,3,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 108"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 108",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 35-45 см,2,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 108"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 110",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 60-65 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 110"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 112",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 35-40 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 112"
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 118/57",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,клен діам. 60-65 см,1,,,0,,,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 118/57"
"№ 3697
 від 04.05.18","м. Кропивницький вул. Яновського, 60 (на території Кіровоградської міської станції юних техніків)",48.49533579999999,32.249159999999996,Управління освіти Міської ради,клен діам. 60-65 см,1,,,0,,,"м. Кропивницький вул. Яновського, 60"
"№ 3698
 від 04.05.18","м. Кропивницький вул. Преображенська, 101 (на території ДНЗ № 37 «Ластівка»)",48.498486,32.2866051,Управління освіти Міської ради,верба плакуча діам. 75-80 см,1,,,0,,,"м. Кропивницький вул. Преображенська, 101"
"№ 3699
 від 04.05.18","м. Кропивницький вул. Бєляєва, 29, корп. 2 (під’їзд № 5)",48.5040674,32.2273828,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 50-55 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Бєляєва, 29, корп. 2"
"№ 3670
 від 04.05.18","м. Кропивницький вул. Волкова, 28, корп. 4 (між під. № 4 та № 5)",48.4983198,32.225403299999996,КП «ЖЕО № 3» Міської ради міста Кропивницького,абрикос діам. 15-20 см,2,,,0,,,"м. Кропивницький вул. Волкова, 28, корп. 4"
"№ 3670
 від 04.05.18","м. Кропивницький вул. Волкова, 28, корп. 4 (між під. № 4 та № 5)",48.4983198,32.225403299999996,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 10-15 см,,,,0,,,"м. Кропивницький вул. Волкова, 28, корп. 4"
"№ 3670
 від 04.05.18","м. Кропивницький вул. Волкова, 28, корп. 4 (між під. № 4 та № 5)",48.4983198,32.225403299999996,КП «ЖЕО № 3» Міської ради міста Кропивницького,груша діам. 10-15 см,1,,,0,,,"м. Кропивницький вул. Волкова, 28, корп. 4"
"№ 3701
 від 04.05.18","м. Кропивницький пров. Миргородський, 23 (навпроти під. № 1)",48.50793300000001,32.262316999999996,КП «ЖЕО № 3» Міської ради міста Кропивницького,верба плакуча діам. 95-100 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький пров. Миргородський, 23"
"№ 3702
 від 04.05.18","м. Кропивницький вул. Академіка Тамма, 5",48.499674,32.2368108,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 40-45 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Академіка Тамма, 5"
"№ 3702
 від 04.05.18","м. Кропивницький вул. Академіка Тамма, 5",48.499674,32.2368108,КП «ЖЕО № 3» Міської ради міста Кропивницького,береза діам. 15-20 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Академіка Тамма, 5"
"№ 3703
 від 04.05.18","м. Кропивницький вул. Генерала Родимцева, 85 (біля дитячого майданчика)",48.4972252,32.300791,ОСББ «Горизонт-85»,тополя діам. 80-95 см,3,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Генерала Родимцева, 85"
№ 3704 від 04.05.18,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",48.4984362,32.233952,ПП «Сервіс Кіровоград»,акація діам. 25-45 см,22,,,0,,,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4"
№ 3704 від 04.05.18,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",48.4984362,32.233952,ПП «Сервіс Кіровоград»,берест діам. 20-25,2,,,0,,,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4"
№ 3704 від 04.05.18,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",48.4984362,32.233952,ПП «Сервіс Кіровоград»,берест діам. 35-45 см,3,,,0,,,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4"
№ 3704 від 04.05.18,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4",48.4984362,32.233952,ПП «Сервіс Кіровоград»,клен діам. 30-35 см,3,,,0,,,"м. Кропивницький вул. Академіка Тамма, біля будинку № 4"
№ 3705 від 04.05.18,"м. Кропивницький вул. Січових стрільців, 1-а",48.50793300000001,32.262316999999996,гр. Коваленко Е.А.,клен діам. 80-85 см,1,,,0,,,"м. Кропивницький вул. Січових стрільців, 1-а"
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529222499999996,32.2454928,ГУ ЖКГ МР МК,тополя діам. 45-50 см,1,,,0,,,м. Кропивницький вздовж річки Інгул
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529222499999996,32.2454928,ГУ ЖКГ МР МК,тополя діам. 60-70 см,1,,,0,,,м. Кропивницький вздовж річки Інгул
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529222499999996,32.2454928,ГУ ЖКГ МР МК,клен діам. 55-60 см,2,,,0,,,м. Кропивницький вздовж річки Інгул
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529222499999996,32.2454928,ГУ ЖКГ МР МК,клен 3 діам. 55-60 см,1,,,0,,,м. Кропивницький вздовж річки Інгул
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529222499999996,32.2454928,ГУ ЖКГ МР МК,клен 5 діам. 35-60 см,1,,,0,,,м. Кропивницький вздовж річки Інгул
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529222499999996,32.2454928,ГУ ЖКГ МР МК,клен 3 діам. 35-60 см,1,,,0,,,м. Кропивницький вздовж річки Інгул
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529222499999996,32.2454928,ГУ ЖКГ МР МК,клен 4 діам. 45-70 см,1,,,0,,,м. Кропивницький вздовж річки Інгул
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529222499999996,32.2454928,ГУ ЖКГ МР МК,берест 3 діам. 45-60 см,2,,,0,,,м. Кропивницький вздовж річки Інгул
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529222499999996,32.2454928,ГУ ЖКГ МР МК,берест 2 діам. 60-75 см,1,,,0,,,м. Кропивницький вздовж річки Інгул
№ 3706 від 04.05.18,м. Кропивницький вздовж річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту біля Ковалівського пляжу),48.529222499999996,32.2454928,ГУ ЖКГ МР МК,берест 2 діам. 55-75 см,2,,,0,,,м. Кропивницький вздовж річки Інгул
"№ 3707
 від 11.05.18","м. Кропивницький вул. Комарова, 3 (збоку під. № 1)",48.50793300000001,32.262316999999996,ОЖБК,клен діам. 30-35 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Комарова, 3"
"№ 3707
 від 11.05.18","м. Кропивницький вул. Комарова, 3 (збоку під. № 1)",48.50793300000001,32.262316999999996,ОЖБК,акація діам. 45-50 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Комарова, 3"
"№ 3708
 від 11.05.18","м. Кропивницький вул. Лінія, 6, 30 (ЗОШ № 22)",48.4721684,32.2814739,Управління освіти,черешня діам. 95-100 см,1,,,0,,,"м. Кропивницький вул. Лінія, 6, 30"
"№ 3709
 від 11.05.18","м. Кропивницький вул. Євгена Тельнова, 8, корп. 2 (навпроти під'їзду № 4 та № 2)",48.5026266,32.2299565,КП «ЖЕО № 3» Міської ради міста Кропивницького,черешня діам. 55-65 см,2,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Євгена Тельнова, 8, корп. 2"
"№ 3710
 від 11.05.18","м. Кропивницький вул. Преображенська, уздовж дороги, біля будинку № 58",48.5024234,32.27539960000001,гр. Краснюк А.С.,тополя діам. 85-90 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Преображенська, уздовж дороги, біля будинку № 58"
"№ 3710
 від 11.05.18","м. Кропивницький вул. Преображенська, уздовж дороги, біля будинку № 58",48.5024234,32.27539960000001,гр. Краснюк А.С.,акація діам. 65-70 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Преображенська, уздовж дороги, біля будинку № 58"
"№ 3711
 від 11.05.18","м. Кропивницький вул. Арсенія Тарковського, 68",48.5057836,32.2680152,КП «Благоустрій» МРМК»,акація діам. 65-70 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Арсенія Тарковського, 68"
