identifier,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,itemType,appealIdentifier,dateReceived,senderName,reportIdentifier,reportDate,status
,533/03-03-01-06,2020-03-13 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Солдатська 2,,48.5076,32.26027,тополя,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,"1044-П
1075-П",2020-05-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Олександрійська,,48.49709,32.28003,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,"1045-П
1075-П",2020-05-13 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Олександрійська,,48.49707,32.28007,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,"1046-П
1075-П",2020-05-14 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Олександрійська,,48.49702,32.2801,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,356-В,2020-02-18 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Вадима Височина 42/70,,48.52912,32.262170000000005,груша,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,356-В,2020-02-18 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Вадима Височина 42/70,,48.5292,32.26222,липа,1.0,1.0,0.0,Формувальна,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.49883,32.240159999999996,тополя,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.49893,32.24054,тополя,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.499140000000004,32.24037,тополя,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.49915,32.240390000000005,тополя,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
