identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemDiameter,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status
3834-01,3834,2018-10-24,гр. Ситник,3767/03-01-06,2018-11-08,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,провул. Арнаутовський; 18,null,48.488753,32.265256,Акація,>80,1,1,0,1,2019-01-24,Замовлення виконано підрядником
3811-01,3811,2018-09-20,Голофаєв І.В.-депутат Міської ради міста Кропивницького VII скликання,3780/03-01-06,2018-11-09,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Ганни Дмитрян; 8,"на території БО ""БФ"" Милосердний саморянин""",48.521667,32.259784,Тополя ,60-70,1,1,0,1,2019-01-24,Замовлення виконано підрядником
3811-02,3811,2018-09-20,Голофаєв І.В.-депутат Міської ради міста Кропивницького VII скликання,3780/03-01-06,2018-11-09,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Ганни Дмитрян; 8,"на території БО ""БФ"" Милосердний саморянин""",48.521690,32.259802,Клен,30-40,1,1,0,1,2019-01-24,Замовлення виконано підрядником
3835-01,3835,2018-10-24,гр. Коробка М.І.,3780/03-01-06,2018-11-09,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Велика Пермська; 69,null,48.493682,32.270217,Акація,60-70,1,1,0,1,2019-01-24,Замовлення виконано підрядником
3831-01,3831,2018-10-24,"Марченко Л.М.-начальник ""ЖЕО №2"" МРМК",3833/03-01-06,2018-11-15,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Генерала Родімцева; 72 а,null,48.496454,23.302637,Горіх,30-40,1,1,0,1,2019-01-24,Замовлення виконано підрядником
3831-02,3831,2018-10-24,"Марченко Л.М.-начальник ""ЖЕО №2"" МРМК",3833/03-01-06,2018-11-15,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Генерала Родімцева; 72 а,null,48.496499,32.302828,Горіх,30-40,1,1,0,1,2019-01-24,Замовлення виконано підрядником
3831-01,3831,2018-10-24,"Марченко Л.М.-начальник ""ЖЕО №2"" МРМК",3833/03-01-06,2018-11-15,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Генерала Родімцева; 72 б,null,48.496514,32.302714,Тополя ,50-60,1,1,0,1,2019-01-24,Замовлення виконано підрядником
3831-02,3831,2018-10-24,"Марченко Л.М.-начальник ""ЖЕО №2"" МРМК",3833/03-01-06,2018-11-15,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Генерала Родімцева; 72 б,null,48.496547,32.302870,Тополя ,50-60,1,1,0,1,2019-01-24,Замовлення виконано підрядником
3831-01,3831,2018-10-24,"Марченко Л.М.-начальник ""ЖЕО №2"" МРМК",3833/03-01-06,2018-11-15,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Михайлівська; 55,null,48.507408,32.272171,Акація,70-80,1,1,0,1,2019-01-24,Замовлення виконано підрядником
3831-01,3831,2018-10-24,"Марченко Л.М.-начальник ""ЖЕО №2"" МРМК",3833/03-01-06,2018-11-15,"КОЛЕКТИВНЕ ПІДПРИЄМСТВО ""ЄЛІЗАВЕТА""",22218998,Україна,Кіровоградська область,Кропивницький,вул. Михайлівська; 61,null,48.506394,32.271153,Клен,>20,1,1,0,1,2019-01-24,Замовлення виконано підрядником
